ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
470045,10,10,10,10,10,10,10,10,10,10
470047,0,0,0,0,0,0,0,0,0,0
470049,14,14,14,14,14,14,14,14,14,14
470051,17,18,25,0,15,23,32,9,7,34
470052,17,17,17,17,17,17,17,17,17,17
470053,0,0,0,0,0,0,0,0,0,0
470054,18,18,18,18,18,18,18,18,18,18
470055,0,0,0,0,0,0,0,0,0,0
470056,11,11,11,11,11,11,11,11,11,11
470057,0,0,0,0,0,0,0,0,0,0
470058,0,0,0,0,0,0,0,0,0,0
470059,0,0,0,0,0,0,0,0,0,0
470060,6,22,0,0,0,0,16,10,0,0
470062,0,0,0,0,0,0,0,0,0,0
470063,0,0,0,0,0,0,27,0,0,0
470064,0,0,0,0,0,0,0,0,0,0
470065,23,23,23,23,23,23,23,23,23,23
470066,22,22,22,22,22,22,22,22,22,22
470067,24,24,24,24,24,24,24,24,24,24
470068,0,0,0,0,0,0,0,0,2,0
470069,0,0,0,0,0,0,0,0,0,0
470070,0,0,0,0,0,0,0,0,0,0
470071,0,0,0,0,0,0,0,0,0,0
470072,0,0,0,0,0,0,0,0,0,0
470073,0,0,0,0,0,0,0,0,0,0
470074,0,0,0,0,0,0,0,0,0,0
470075,0,0,0,0,0,0,0,0,0,0
470076,0,0,14,0,0,0,0,0,13,0
470077,15,0,0,0,0,0,0,0,0,0
470078,0,0,0,0,0,0,0,0,0,0
470079,14,14,14,14,14,14,27,14,14,14
470080,28,28,28,28,28,28,28,28,28,28
470081,0,0,0,0,0,0,0,0,3,0
470083,0,0,0,0,0,0,0,0,0,0
470084,0,0,0,0,0,0,0,0,0,0
