ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
481007,0,0,0,0,0,0,0,0,0,0
481008,10,0,0,0,0,0,0,0,0,0
481009,0,0,0,17,0,0,0,12,13,0
481010,35,12,20,12,16,21,23,3,9,58
481011,0,12,0,14,0,0,20,0,0,11
481012,0,0,20,0,0,0,0,0,0,0
481013,0,0,10,0,0,0,0,0,12,19
481014,12,12,12,12,12,12,12,12,12,12
481015,0,0,0,0,0,14,0,0,0,0
481016,0,0,0,0,0,0,0,0,0,0
481017,0,9,0,0,0,24,0,13,0,21
481018,21,0,0,0,37,21,0,0,0,0
481019,0,0,0,0,0,0,0,0,0,0
481020,21,21,21,21,21,21,21,21,21,21
481021,0,0,0,0,0,0,0,0,0,0
481022,0,11,0,0,0,0,0,0,0,0
481023,25,4,0,0,0,0,0,17,0,3
481025,8,8,8,8,8,8,8,8,8,8
481026,0,22,0,0,0,0,6,20,0,0
481027,0,0,0,0,0,0,0,0,0,0
481028,34,34,34,34,34,34,34,34,34,34
481029,26,38,0,0,0,0,0,19,0,0
481030,20,0,39,17,0,13,14,7,10,36
481031,0,0,0,0,9,11,0,0,32,15
481032,0,0,0,0,0,0,0,0,0,38
481033,17,25,18,8,5,27,0,25,29,28
481034,0,0,0,0,0,0,0,0,0,0
481035,0,0,0,0,16,0,0,0,0,0
481036,18,18,18,18,18,18,18,18,18,18
481037,14,14,14,14,14,14,14,14,14,14
481038,0,0,0,0,0,0,0,0,0,0
481039,17,17,17,17,17,17,17,17,17,17
481040,23,23,23,23,23,23,23,23,23,23
481041,23,40,11,5,7,7,22,23,11,15
481042,0,0,0,2,14,0,0,27,0,0
481043,11,11,11,11,11,11,11,11,11,11
481044,0,0,0,0,0,0,0,0,0,0
481045,0,0,0,0,0,0,13,0,0,0
481046,0,0,0,0,0,0,0,0,0,0
481047,0,0,0,0,0,0,0,0,0,0
481048,4,4,4,12,4,8,4,4,4,4
481049,16,0,12,13,0,0,3,14,0,14
481050,25,25,25,25,25,25,25,25,25,25
481051,0,0,0,0,0,0,0,0,0,0
481052,13,26,10,10,10,10,10,20,10,10
481053,10,5,5,16,30,28,15,15,5,25
481054,0,0,0,12,13,0,0,0,0,0
481055,21,0,0,0,0,0,17,0,24,15
481056,10,20,10,14,10,11,10,10,10,10
481057,12,12,12,12,12,12,12,12,12,12
481058,8,0,0,0,0,0,0,0,8,0
481059,0,0,0,0,0,0,0,0,0,12
481060,21,21,21,21,21,21,21,21,21,21
481061,0,0,0,0,0,0,0,0,0,0
481062,11,11,11,11,11,11,11,11,11,11
481063,12,12,12,12,12,12,12,12,12,12
481064,18,18,18,18,18,18,18,18,18,18
481065,0,14,0,0,13,4,4,0,0,0
481066,0,0,0,0,0,0,0,0,34,11
481067,13,14,15,18,13,16,13,14,13,18
481068,0,0,0,0,0,0,0,0,0,0
481069,13,13,13,13,13,13,13,13,13,13
481070,0,0,0,0,0,20,0,0,13,0
481071,22,0,14,27,16,23,0,18,17,11
481072,19,19,19,19,19,19,19,19,19,19
481073,0,19,0,0,0,0,0,0,0,0
481074,18,18,18,18,18,18,18,18,18,18
481076,14,14,14,14,14,14,14,14,14,14
481077,31,13,14,13,14,13,13,13,13,13
481078,8,0,0,0,0,0,0,0,0,0
481079,0,0,0,8,0,0,0,15,0,0
481081,0,0,0,0,0,0,10,0,0,0
481082,12,16,0,0,0,15,0,0,19,0
481083,15,15,15,15,15,15,15,15,15,15
481084,5,5,5,5,5,5,5,5,5,5
481085,5,5,5,5,5,5,5,5,5,5
481086,20,20,20,20,20,20,20,20,20,20
481087,0,0,0,0,0,0,0,0,0,0
481088,20,20,20,20,20,20,20,20,20,20
481089,0,0,0,0,0,0,0,0,0,19
481090,0,0,0,17,0,9,0,7,0,0
481091,27,12,0,0,16,24,0,0,0,0
481092,0,0,0,3,0,0,0,0,13,0
481093,0,0,0,0,0,0,0,0,0,0
481094,22,30,0,0,35,10,25,0,16,13
481095,0,0,0,0,0,0,0,0,17,0
481096,11,30,11,12,27,0,0,0,0,11
481097,0,0,0,0,0,0,0,0,0,0
481098,16,16,16,16,16,16,16,16,16,16
481099,0,0,0,0,9,0,0,0,0,0
481100,0,0,0,29,0,0,0,0,0,0
481101,4,23,18,17,18,20,16,15,26,24
481102,0,0,0,0,0,0,0,0,0,0
481103,0,0,16,0,17,0,0,0,0,0
481104,11,11,11,11,11,11,11,11,11,11
481105,24,0,0,8,0,17,11,0,0,0
481106,0,0,0,0,24,0,0,0,0,0
481107,2,2,2,2,2,2,2,2,2,2
481108,0,0,0,0,0,0,0,0,0,0
481109,28,10,0,10,21,28,0,9,14,13
481110,0,0,0,0,0,0,0,0,0,14
481111,21,13,0,18,0,11,14,7,21,11
481112,19,0,19,0,9,0,0,9,0,0
481113,0,0,0,8,0,18,0,26,0,0
481114,19,20,13,0,38,32,32,18,9,9
481115,26,26,26,26,26,26,26,26,26,26
481116,0,0,0,0,0,0,0,0,0,0
481117,27,27,27,27,27,27,27,27,27,27
481118,10,10,10,10,10,10,10,10,10,10
481119,0,0,0,0,0,0,0,0,0,0
481120,3,3,3,3,28,27,3,3,3,19
481121,0,0,0,0,8,0,0,0,0,0
481122,9,13,26,0,0,0,0,0,0,0
481123,0,0,0,0,0,0,0,0,0,0
481124,0,0,5,18,4,0,0,30,22,7
481125,10,0,0,0,0,0,9,0,0,0
481126,0,0,0,0,0,15,0,0,0,0
481127,0,0,0,0,0,0,0,0,0,0
481128,6,19,0,0,0,0,18,0,0,0
481129,0,0,16,12,0,0,0,0,0,14
481130,23,23,23,23,23,23,23,23,23,23
481131,0,0,0,0,0,15,0,0,0,0
481132,16,0,6,0,19,5,0,0,0,10
481133,0,0,0,0,0,0,0,0,0,0
481134,0,0,0,3,0,0,0,0,0,0
481135,0,0,13,0,0,0,0,0,20,0
481136,42,0,17,19,14,23,25,6,25,11
481137,30,0,0,19,0,0,0,0,0,0
481138,0,0,0,0,0,0,0,0,0,12
481139,0,0,0,0,0,0,0,0,0,0
481140,0,0,0,0,0,4,0,0,0,0
481141,26,26,26,26,26,26,26,26,26,26
481142,0,15,14,0,0,0,17,6,0,0
481143,18,0,0,0,0,9,20,0,14,5
481144,0,1,0,0,0,0,0,17,0,0
481145,0,14,0,0,0,0,0,0,0,0
481146,0,0,0,0,0,0,0,0,0,0
481147,23,15,4,13,0,24,0,0,32,0
481148,20,28,20,20,20,20,20,20,20,20
481149,0,0,0,0,0,0,0,0,0,0
481150,19,19,19,19,19,19,19,19,19,19
481151,0,18,22,24,0,7,12,0,23,0
481152,22,31,24,32,23,34,11,29,28,13
481153,23,23,23,23,23,23,23,23,23,23
481154,20,20,20,20,20,20,20,20,20,20
481155,11,11,11,11,11,11,11,11,11,11
481156,15,0,0,0,0,16,21,4,0,38
481157,0,0,0,0,0,21,0,10,9,0
481158,0,0,0,19,0,0,0,0,0,0
481159,17,0,1,8,4,16,0,12,0,13
481160,22,22,22,22,22,22,22,22,22,22
481161,28,28,28,28,28,28,28,28,28,28
481162,0,0,15,0,0,0,0,9,0,0
481163,0,0,0,0,18,0,0,0,0,0
481164,0,0,11,0,0,0,15,0,0,14
481165,0,0,0,0,0,0,0,0,0,0
481166,15,15,15,15,15,15,15,15,15,15
481167,0,7,0,0,0,0,0,0,0,0
481168,0,10,4,0,9,12,10,12,0,7
481169,0,0,4,0,0,0,0,0,18,0
